Mission ID,Service Class,Mode,Resource,Start (min or -),End/Duration (min),Status
MSN-EVT-CAL-LOAD-CLEAN_LINEN-0001,?,AGV_AMR,AGV_AMR,-,15.704545454545453,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-CLEAN_LINEN-0005,?,AGV_AMR,AGV_AMR,-,15.704545454545453,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-CLEAN_LINEN-0009,?,AGV_AMR,AGV_AMR,-,15.704545454545453,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-CLEAN_LINEN-0013,?,AGV_AMR,AGV_AMR,-,15.704545454545453,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-CLEAN_LINEN-0017,?,AGV_AMR,AGV_AMR,-,15.704545454545453,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-CLEAN_LINEN-0021,?,AGV_AMR,AGV_AMR,-,15.704545454545453,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-PHARMACY_INFUSION-0002,?,AGV_AMR,AGV_AMR,-,15.704545454545453,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-PHARMACY_INFUSION-0006,?,AGV_AMR,AGV_AMR,-,15.704545454545453,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-PHARMACY_INFUSION-0010,?,AGV_AMR,AGV_AMR,-,15.704545454545453,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-PHARMACY_INFUSION-0014,?,AGV_AMR,AGV_AMR,-,15.704545454545453,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-PHARMACY_INFUSION-0018,?,AGV_AMR,AGV_AMR,-,15.704545454545453,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-PHARMACY_INFUSION-0022,?,AGV_AMR,AGV_AMR,-,15.704545454545453,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-SPECIMEN_BLOOD-0003,SPECIMEN_BLOOD,MRT,MRT-LIGHT-CARRIER-001,13.5,14.214285714285714,HELD_FOR_PRIORITY
