Mission ID,Service Class,Mode,Resource,Start (min or -),End/Duration (min),Status
MSN-EVT-CAL-LOAD-CLEAN_LINEN-0001,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-CLEAN_LINEN-0005,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-CLEAN_LINEN-0009,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-CLEAN_LINEN-0013,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-CLEAN_LINEN-0017,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-CLEAN_LINEN-0021,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-PHARMACY_INFUSION-0002,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-PHARMACY_INFUSION-0006,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-PHARMACY_INFUSION-0010,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-PHARMACY_INFUSION-0014,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-PHARMACY_INFUSION-0018,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-PHARMACY_INFUSION-0022,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-SPECIMEN_BLOOD-0003,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-SPECIMEN_BLOOD-0007,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-SPECIMEN_BLOOD-0011,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-SPECIMEN_BLOOD-0015,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-SPECIMEN_BLOOD-0019,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-SPECIMEN_BLOOD-0023,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-STERILE_CLEAN_SUPPLY-0004,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-STERILE_CLEAN_SUPPLY-0008,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-STERILE_CLEAN_SUPPLY-0012,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-STERILE_CLEAN_SUPPLY-0016,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-STERILE_CLEAN_SUPPLY-0020,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-LOAD-STERILE_CLEAN_SUPPLY-0024,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-PET-INPT-2026-02-03-0010,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-PET-INPT-2026-02-03-0014,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-PET-INPT-2026-02-03-0020,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-PET-INPT-2026-02-03-0030,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-PET-OUTP-2026-02-03-0012,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-PET-OUTP-2026-02-03-0013,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-SPECT-INPT-2026-02-03-0001,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-SPECT-INPT-2026-02-03-0002,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
MSN-EVT-CAL-SPECT-INPT-2026-02-03-0016,?,PORTER,PORTER,-,17.0,ROUTE_NOT_CALIBRATED
