Metric,Manual Conventional,Automated Conventional,MRT,Hybrid
Required patients/day,200,200,200,200
Served patients/day,200,200,200,200
Overall feasible,True,True,True,True
Total CapEx (USD),5000000.0,5795000.0,5181000.0,5181000.0
Annual transport labor (USD),503880.00000000006,503880.00000000006,125970.00000000001,125970.00000000001
Annual total OPEX (USD),503880.00000000006,545292.0,125973.06962000001,125973.06764000001
Annual revenue (USD),18000000.0,18000000.0,18000000.0,18000000.0
Annual operating margin (USD),17496120.0,17454708.0,17874026.93038,17874026.93236
Cost/patient (USD),8.398000000000001,9.0882,2.0995511603333337,2.0995511273333336
Payback (years),0.2857776467010972,0.33200211656362283,0.28986193319391246,0.2898619331618029
NPV (USD),102506083.42946176,101456624.61648032,104647157.92289256,104647157.93505879
IRR (%),349.92229705705665,301.2026202966289,344.9917208936774,344.9917209318939
