Stream,Mode,Status,Reason
RADIOPHARMACEUTICAL_NUCLEAR,MANUAL,SUPPORTED,Shielded-container porter courier -- established conventional nuclear path
RADIOPHARMACEUTICAL_NUCLEAR,AGV,NOT_APPLICABLE,conventional_transport_authority never assigns nuclear to AGV/PTS
RADIOPHARMACEUTICAL_NUCLEAR,PTS,NOT_APPLICABLE,conventional_transport_authority never assigns nuclear to AGV/PTS
RADIOPHARMACEUTICAL_NUCLEAR,MRT,SUPPORTED,mrt_service_class_authority.SERVICE_CLASS_REGISTRY: calibrated speed
SPECIMEN_BLOOD,MANUAL,SUPPORTED,conventional_transport_authority.TECHNOLOGY_STREAM_COMPATIBILITY
SPECIMEN_BLOOD,AGV,NOT_APPLICABLE,conventional_transport_authority.TECHNOLOGY_STREAM_COMPATIBILITY
SPECIMEN_BLOOD,PTS,SUPPORTED,conventional_transport_authority.TECHNOLOGY_STREAM_COMPATIBILITY
SPECIMEN_BLOOD,MRT,SUPPORTED,mrt_service_class_authority.SERVICE_CLASS_REGISTRY: calibrated speed
PHARMACY_INFUSION,MANUAL,SUPPORTED,conventional_transport_authority.TECHNOLOGY_STREAM_COMPATIBILITY
PHARMACY_INFUSION,AGV,SUPPORTED,conventional_transport_authority.TECHNOLOGY_STREAM_COMPATIBILITY
PHARMACY_INFUSION,PTS,SUPPORTED,conventional_transport_authority.TECHNOLOGY_STREAM_COMPATIBILITY
PHARMACY_INFUSION,MRT,NOT_CALIBRATED,mrt_service_class_authority.SERVICE_CLASS_REGISTRY: speed not established
STERILE_CLEAN_SUPPLY,MANUAL,SUPPORTED,conventional_transport_authority.TECHNOLOGY_STREAM_COMPATIBILITY
STERILE_CLEAN_SUPPLY,AGV,SUPPORTED,conventional_transport_authority.TECHNOLOGY_STREAM_COMPATIBILITY
STERILE_CLEAN_SUPPLY,PTS,NOT_APPLICABLE,conventional_transport_authority.TECHNOLOGY_STREAM_COMPATIBILITY
STERILE_CLEAN_SUPPLY,MRT,NOT_CALIBRATED,mrt_service_class_authority.SERVICE_CLASS_REGISTRY: speed not established
LAUNDRY_CLEAN_LINEN,MANUAL,SUPPORTED,conventional_transport_authority.TECHNOLOGY_STREAM_COMPATIBILITY
LAUNDRY_CLEAN_LINEN,AGV,SUPPORTED,conventional_transport_authority.TECHNOLOGY_STREAM_COMPATIBILITY
LAUNDRY_CLEAN_LINEN,PTS,NOT_APPLICABLE,conventional_transport_authority.TECHNOLOGY_STREAM_COMPATIBILITY
LAUNDRY_CLEAN_LINEN,MRT,SUPPORTED,mrt_service_class_authority.SERVICE_CLASS_REGISTRY: calibrated speed
